"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"86","hinotda01","1999-00","STL",1,31,27,10,"0",1,0,0,0,2,1,0,"7.1",NA,"7.1",NA,"7:51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","hinotda01","2000-01","STL",2,32,76,51,"1",4,1,0,1,8,2,0,"7.2",NA,"7.2",NA,"10:21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","kaberto01","1998-99","TOR",1,29,57,12,"3",4,0,0,2,12,5,1,"5.6",NA,"5.6",NA,"18:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","kaberto01","1999-00","TOR",2,30,82,24,"3",5,2,0,0,19,13,1,"8.5",NA,"8.5",NA,"22:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","kaberto01","2000-01","TOR",3,31,82,24,"10",6,0,0,1,21,17,1,"6.3",NA,"6.3",NA,"22:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","kaberto01","2001-02","TOT",4,32,69,2,"5",5,5,0,3,12,15,2,"11.8",NA,"11.8",NA,"25:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","kaberto01","2002-03","TOR",5,32,82,30,"20",6,4,1,2,20,15,1,"9.2",NA,"9.2",NA,"24:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","kaberto01","2003-04","BOS",6,32,71,18,"16",3,0,0,1,16,10,2,"3.4",NA,"3.4",NA,"23:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","kaberto01","2005-06","TOT",7,33,82,46,"-1",3,6,0,2,13,45,0,"5.5",NA,"5.5",NA,"28:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","kaberto01","2006-07","CAR",8,33,74,20,"3",9,2,0,1,18,28,1,"8.6",NA,"8.6",NA,"25:52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","kaberto01","2007-08","MTL",9,33,82,22,"-8",2,6,0,1,21,24,0,"5.2",265,"5.2",265,"24:52",41,99,24,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","kaberto01","2008-09","MTL",10,34,57,8,"-8",1,3,0,1,11,16,0,"4.3",210,"4.3",210,"23:28",29,78,21,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","kanebo01","2003-04","PHI",1,30,7,7,"-4",0,0,0,0,0,0,0,"0.0",NA,"0.0",NA,"9:56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","kanebo01","2005-06","WSH",2,31,5,2,"1",0,0,0,0,1,0,0,"0.0",NA,"0.0",NA,"4:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","kubinpa01","1997-98","TOR",1,30,10,22,"-1",1,0,0,0,2,0,0,"12.5",NA,"12.5",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","kubinpa01","1998-99","TOR",2,31,68,80,"-33",5,3,1,1,9,3,0,"7.6",NA,"7.6",NA,"22:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
